energy,stress,motivation,hour_of_day,persona,focus_readiness
5,2,5,22,Night Owl,87.40203228877907
6,5,4,7,Night Owl,15.410861219924845
10,2,3,12,Night Owl,56.708705371779615
1,3,10,7,Night Owl,18.074478637130213
7,7,5,16,Night Owl,54.04256184989673
10,4,7,13,Night Owl,50.03025406092935
5,4,1,13,Night Owl,48.3685359083889
8,10,3,3,Night Owl,48.53435358851117
4,10,4,5,Night Owl,49.11551954938684
8,7,4,3,Night Owl,49.134955343165636
1,8,10,4,Night Owl,49.80424057500333
3,3,4,11,Night Owl,44.00548409594351
5,5,6,22,Night Owl,87.54735432008195
5,2,2,19,Night Owl,53.88293566234468
3,10,7,11,Night Owl,48.79218080141196
6,7,5,15,Night Owl,50.437344172503444
6,4,3,6,Night Owl,23.22948455406556
7,2,8,14,Night Owl,43.22331923349885
10,1,3,18,Night Owl,52.10245450563854
10,2,10,4,Night Owl,58.57582669003554
4,7,1,12,Night Owl,48.99495958943983
3,1,2,9,Night Owl,12.581602712743475
4,8,3,14,Night Owl,45.22161957441304
4,2,6,11,Night Owl,43.10871157013164
6,4,2,12,Night Owl,52.92500019925005
6,7,4,6,Night Owl,19.080362427166325
3,2,5,17,Night Owl,40.665419200232236
10,5,10,5,Night Owl,54.689537680620894
1,2,2,4,Night Owl,47.30815688948511
9,1,4,6,Night Owl,19.751583341795975
2,5,4,10,Night Owl,11.740591519291762
9,3,5,15,Night Owl,50.014093285316775
2,1,1,6,Night Owl,11.258359617311221
2,7,1,19,Night Owl,48.43131999795055
4,5,10,14,Night Owl,47.211810632112375
1,7,2,15,Night Owl,44.16616414525004
2,8,9,21,Night Owl,83.41421799767838
1,1,7,7,Night Owl,13.354976447568017
2,1,4,9,Night Owl,15.07460473308197
7,7,6,15,Night Owl,56.32304190294194
8,7,10,16,Night Owl,50.16659469593797
6,2,4,20,Night Owl,91.48480093582555
5,5,6,16,Night Owl,51.679443475260925
8,3,5,22,Night Owl,92.08211743607963
6,5,7,9,Night Owl,17.765068110240897
3,2,4,2,Night Owl,51.92312309794009
5,7,3,6,Night Owl,15.273982962881876
3,6,8,5,Night Owl,47.839628593302905
5,9,8,15,Night Owl,53.07775830914194
6,9,2,12,Night Owl,47.2806077779539
3,1,4,11,Night Owl,45.86668436301364
2,2,1,1,Night Owl,49.89225626816861
3,1,8,6,Night Owl,14.75671227521205
9,10,4,11,Night Owl,57.53696050443317
7,9,8,6,Night Owl,17.39954863016867
1,10,6,14,Night Owl,44.80395832238355
1,9,3,8,Night Owl,17.361355999070092
4,9,8,6,Night Owl,19.792269599414723
9,6,3,20,Night Owl,95.58587817999316
8,8,6,4,Night Owl,45.10787969952827
2,4,6,6,Night Owl,11.347517265727785
1,8,1,14,Night Owl,41.929497756645624
6,9,2,14,Night Owl,51.7889811061578
7,5,7,16,Night Owl,45.244791622560605
1,5,8,0,Night Owl,84.02719310332236
7,2,7,6,Night Owl,18.193278231406044
7,4,2,12,Night Owl,55.607740827129504
9,8,5,13,Night Owl,47.74094009428028
10,8,5,9,Night Owl,18.722069466881635
6,10,10,23,Night Owl,85.86584016152634
3,7,2,6,Night Owl,16.459003102860194
1,10,5,8,Night Owl,14.690603861029716
8,9,9,7,Night Owl,16.18921998903927
4,7,1,6,Night Owl,14.879302941849957
10,1,1,2,Night Owl,56.49207226540657
8,8,7,20,Night Owl,88.61391099917937
2,10,5,3,Night Owl,48.29290405342572
1,5,7,0,Night Owl,79.23289065450432
9,5,7,1,Night Owl,49.27395588930905
7,7,7,20,Night Owl,85.73195232330117
9,5,3,3,Night Owl,50.42352010028668
1,3,8,11,Night Owl,41.96159168771213
5,1,6,23,Night Owl,85.9712167846515
6,7,4,17,Night Owl,51.02605428682622
2,1,3,3,Night Owl,37.791397168665654
7,9,8,6,Night Owl,21.148340047614052
9,2,7,12,Night Owl,53.55313090123767
5,4,1,16,Night Owl,45.04292639545199
8,3,10,1,Night Owl,51.13875698449505
6,4,4,1,Night Owl,59.448060504063506
3,5,5,19,Night Owl,44.77627582167629
10,3,9,16,Night Owl,46.835735922701346
10,3,8,8,Night Owl,15.329341973808473
1,10,9,6,Night Owl,15.03426119085563
7,9,8,21,Night Owl,90.80111291817485
2,8,4,23,Night Owl,84.96596238665992
2,9,6,22,Night Owl,81.19948617351685
10,1,3,9,Night Owl,13.378701848627111
1,9,5,12,Night Owl,46.95867819231374
3,7,10,15,Night Owl,51.17059097834057
7,7,4,9,Night Owl,13.710631386278163
9,1,1,20,Night Owl,88.77068241943674
9,5,7,0,Night Owl,88.69174733750333
2,4,9,4,Night Owl,45.4648219219186
3,2,4,19,Night Owl,49.992343176149916
3,2,5,19,Night Owl,44.27973453883434
8,2,9,15,Night Owl,52.16197426710792
1,8,5,1,Night Owl,47.08651489341584
10,3,7,3,Night Owl,52.15157820466362
10,6,10,23,Night Owl,96.16575586709781
1,4,2,6,Night Owl,20.538876601980274
9,6,4,20,Night Owl,95.67529918609823
6,4,3,11,Night Owl,50.71127384730278
4,8,5,12,Night Owl,49.45604038659291
8,4,2,15,Night Owl,50.78392832836356
3,9,7,18,Night Owl,44.56054362720289
8,3,3,10,Night Owl,16.86969656432569
8,10,10,22,Night Owl,90.90079710673427
7,10,10,2,Night Owl,49.09805894291216
7,4,8,7,Night Owl,16.876876960547087
6,6,3,10,Night Owl,15.084555444313029
4,2,1,1,Night Owl,43.07348758243569
4,2,7,9,Night Owl,15.758155423861064
6,8,5,17,Night Owl,54.324704794743525
10,10,2,8,Night Owl,17.257178556246462
10,8,8,20,Night Owl,94.48138077386082
8,7,8,15,Night Owl,50.583272447631884
4,6,5,11,Night Owl,49.50636002812402
5,8,9,12,Night Owl,48.182299637620865
9,5,2,6,Night Owl,14.739876942857272
8,8,5,0,Night Owl,93.93720484125282
4,4,3,23,Night Owl,87.47728136692359
6,6,8,7,Night Owl,11.891249552017428
1,5,2,11,Night Owl,41.5276974508167
4,8,1,23,Night Owl,84.75051286682152
6,8,6,10,Night Owl,24.26888478115917
8,5,10,15,Night Owl,52.30798677979984
5,7,6,8,Night Owl,16.495347609056452
5,9,10,1,Night Owl,49.05303550551063
1,8,8,1,Night Owl,43.90426912572158
2,7,7,18,Night Owl,45.66868861003136
1,4,2,19,Night Owl,42.50622091079886
3,10,7,11,Night Owl,48.182118485913826
6,6,7,23,Night Owl,92.3858410232089
7,10,5,19,Night Owl,49.252610073477214
6,9,6,7,Night Owl,18.005486421638643
2,3,6,17,Night Owl,42.02052638095954
4,6,5,5,Night Owl,45.24326377643735
5,6,6,21,Night Owl,83.82093684365933
2,4,1,15,Night Owl,48.6830346832214
1,6,2,21,Night Owl,77.21700496859721
6,3,8,3,Night Owl,49.49061581294587
9,8,7,17,Night Owl,50.64292284324556
8,3,6,6,Night Owl,18.116750601298882
2,9,7,22,Night Owl,83.17872233294155
4,5,6,10,Night Owl,13.646957238392599
4,4,7,22,Night Owl,79.29302715603025
7,7,2,20,Night Owl,96.31730616168333
6,3,6,14,Night Owl,48.73633950191201
5,4,10,8,Night Owl,14.918022365917826
8,7,1,8,Night Owl,15.394388821915838
6,7,3,4,Night Owl,55.57451508623959
5,9,7,16,Night Owl,49.85804742290387
5,8,8,1,Night Owl,49.90300370175542
9,3,1,12,Night Owl,53.92130328343376
4,7,1,1,Night Owl,48.52281030866885
9,1,4,11,Night Owl,50.37422458329217
3,5,5,1,Night Owl,44.39834209579581
6,7,8,20,Night Owl,85.38964272612665
2,7,7,23,Night Owl,80.74649620673068
9,8,2,1,Night Owl,46.78592323150064
7,10,10,2,Night Owl,51.29160100163402
3,1,6,19,Night Owl,45.07594782700846
1,4,8,6,Night Owl,13.528653402672722
9,6,2,18,Night Owl,53.66693322814002
7,3,3,4,Night Owl,51.7837968060748
5,9,1,16,Night Owl,48.029447669672834
9,5,4,1,Night Owl,51.863208698426114
9,5,4,22,Night Owl,93.5886868606163
5,8,8,17,Night Owl,44.2712962044734
8,3,7,2,Night Owl,50.21643547476964
6,2,6,5,Night Owl,49.77806045919585
8,9,1,20,Night Owl,96.21008347211927
6,4,2,20,Night Owl,89.41507604707422
7,6,3,8,Night Owl,13.026040650247175
4,5,3,7,Night Owl,8.910734106952365
7,8,7,2,Night Owl,51.3073611925941
3,2,1,4,Night Owl,48.693805324815166
2,1,3,5,Night Owl,48.91128031571896
2,10,7,6,Night Owl,14.342233139001252
9,5,2,14,Night Owl,51.15372656221273
8,10,10,19,Night Owl,46.80411605908143
5,3,10,7,Night Owl,21.60369493313606
2,1,5,10,Night Owl,19.18244444403938
7,9,6,10,Night Owl,21.681924672583797
1,8,2,3,Night Owl,45.46225560639815
9,3,2,17,Night Owl,45.31890824931733
9,6,2,18,Night Owl,53.30095726965308
2,2,7,2,Night Owl,46.66783007144367
4,2,5,13,Night Owl,49.17978787974907
8,5,5,2,Night Owl,49.860060732983015
6,1,3,10,Night Owl,16.38664241642316
7,3,8,21,Night Owl,87.99319627793676
3,8,3,8,Night Owl,13.800194372200524
1,2,4,10,Night Owl,14.604855099265764
2,4,4,19,Night Owl,42.43514171785711
7,2,3,7,Night Owl,21.753017810776292
7,4,4,15,Night Owl,53.322835433140305
1,3,2,10,Night Owl,12.82733268189764
10,6,6,16,Night Owl,53.16843783185286
2,4,6,18,Night Owl,43.705015854390254
3,3,4,19,Night Owl,44.262947200203925
5,2,7,18,Night Owl,51.249789509424495
1,9,5,16,Night Owl,47.046530495226115
9,8,6,21,Night Owl,97.40013320744379
6,4,5,9,Night Owl,17.44439704493791
5,8,5,11,Night Owl,47.880965045550575
4,3,2,2,Night Owl,51.4278023681024
1,3,4,15,Night Owl,46.23727591798297
10,4,1,8,Night Owl,21.550606334305808
4,2,9,13,Night Owl,47.8704390865847
4,4,6,23,Night Owl,89.88180292126249
4,1,3,22,Night Owl,82.6759359134486
1,5,1,21,Night Owl,79.63948617334498
4,6,2,3,Night Owl,48.296692897690974
7,6,9,22,Night Owl,87.57493584518446
10,2,3,13,Night Owl,55.27326434062455
3,7,8,8,Night Owl,14.97911304367155
6,2,1,2,Night Owl,51.47883993341233
9,7,2,13,Night Owl,51.04464970151553
6,9,8,9,Night Owl,19.43501713677174
9,8,7,21,Night Owl,94.49885060147037
9,9,3,8,Night Owl,15.97382736198856
2,3,6,13,Night Owl,46.25717783518939
6,2,6,13,Night Owl,49.121322691057166
1,2,9,21,Night Owl,83.01123127273
4,7,5,6,Night Owl,15.27463915624239
4,10,1,19,Night Owl,50.440077030941005
3,9,5,19,Night Owl,48.28938492389894
8,5,3,15,Night Owl,53.877856626777834
2,8,5,7,Night Owl,17.82902908215023
5,1,2,21,Night Owl,90.46039530511112
10,7,8,3,Night Owl,54.88848246799877
9,6,1,4,Night Owl,54.41380477878647
8,2,7,9,Night Owl,15.465573190819548
7,4,10,1,Night Owl,48.73045905407581
6,7,3,14,Night Owl,54.50875219884323
10,1,3,0,Night Owl,94.60010729901822
10,9,6,19,Night Owl,52.06805935445515
2,10,9,3,Night Owl,44.899589643712545
5,8,8,19,Night Owl,55.217795622287554
4,8,3,6,Night Owl,15.54609484511781
4,9,10,19,Night Owl,46.26613360676458
8,6,5,14,Night Owl,54.82610778730918
1,7,8,18,Night Owl,39.578652384799796
9,10,5,9,Night Owl,20.442626983196785
6,8,4,20,Night Owl,88.91764460895209
5,7,7,22,Night Owl,88.76624871104796
3,4,2,9,Night Owl,18.722160670461747
7,10,1,18,Night Owl,46.535775022123175
6,5,2,9,Night Owl,19.051488097577206
8,6,3,12,Night Owl,49.649018628083745
2,2,9,10,Night Owl,19.319199923935866
10,7,6,14,Night Owl,54.11000059799123
10,2,7,14,Night Owl,52.83673737431569
3,2,6,7,Night Owl,12.995850613350912
2,6,5,6,Night Owl,13.903341712792727
4,2,10,2,Night Owl,46.44015279332075
9,5,5,22,Night Owl,91.55475557312356
7,1,5,23,Night Owl,93.74503759997587
8,2,10,0,Night Owl,91.21132778904817
3,3,6,11,Night Owl,50.18130889749481
3,3,7,10,Night Owl,13.77869824237136
5,4,2,6,Night Owl,10.928372969157385
7,2,7,5,Night Owl,45.858437461430775
10,4,5,7,Night Owl,18.990744268005074
6,7,8,3,Night Owl,52.74677256361176
8,1,6,21,Night Owl,92.77843646925943
5,1,7,9,Night Owl,16.556388575956476
3,10,10,10,Night Owl,16.790818635604516
4,9,8,9,Night Owl,18.918799663695815
6,7,8,1,Night Owl,45.549029580957026
8,5,3,5,Night Owl,53.14411917801677
5,8,9,21,Night Owl,85.95737166691092
4,8,9,4,Night Owl,51.199973015178834
6,3,5,4,Night Owl,53.53244221091922
10,6,9,10,Night Owl,18.08599962110596
7,8,2,13,Night Owl,49.03360574015841
7,4,7,23,Night Owl,84.11030165477823
10,10,4,15,Night Owl,56.38512037981767
5,10,1,17,Night Owl,53.87947687889315
3,1,9,8,Night Owl,17.368380249873372
8,2,4,23,Night Owl,94.73055984312937
7,9,5,21,Night Owl,91.52856039734495
5,9,4,7,Night Owl,21.955393135144778
3,5,8,6,Night Owl,16.298894688127927
2,7,3,18,Night Owl,47.23500018684246
6,6,1,0,Night Owl,89.10458652833437
4,10,6,11,Night Owl,48.669307602077936
3,4,9,13,Night Owl,52.421231261950275
7,3,2,12,Night Owl,54.99893540875358
2,1,5,2,Night Owl,46.76538461609217
9,2,8,19,Night Owl,50.692827756839826
6,9,7,7,Night Owl,17.301666804219895
1,2,3,18,Night Owl,43.637707853935076
10,4,5,5,Night Owl,48.78373168203922
6,10,9,4,Night Owl,51.368668915342724
7,4,6,5,Night Owl,47.39166804081333
4,4,7,13,Night Owl,44.630628061952706
10,6,4,5,Night Owl,50.42483565738038
1,10,5,17,Night Owl,44.971683656192724
7,7,4,5,Night Owl,53.371948037360454
2,4,4,9,Night Owl,13.948535219197112
9,10,7,13,Night Owl,55.11441240666529
5,3,3,21,Night Owl,88.75827086652383
4,8,4,23,Night Owl,85.78857927836764
4,3,5,11,Night Owl,46.665687413652385
5,10,10,16,Night Owl,49.79181417816262
9,10,3,22,Night Owl,89.4013718581968
6,9,4,3,Night Owl,53.37546756546603
8,8,7,6,Night Owl,15.671720160383002
5,2,2,11,Night Owl,51.327643282243734
6,8,3,0,Night Owl,89.26140825664942
6,2,9,4,Night Owl,47.304923132040095
6,3,9,19,Night Owl,42.529251561506314
10,4,2,18,Night Owl,50.24294062679317
2,4,8,0,Night Owl,80.0583610186511
1,4,2,15,Night Owl,45.12822252524915
5,10,6,7,Night Owl,20.95345176869536
2,2,5,20,Night Owl,83.83064612417125
5,1,10,4,Night Owl,51.10373062838503
1,4,1,21,Night Owl,80.90708598124077
4,2,1,10,Night Owl,15.440262158477392
3,7,10,10,Night Owl,18.7791889808318
2,4,6,15,Night Owl,45.29813350878257
5,6,2,22,Night Owl,86.21768605509841
1,9,6,11,Night Owl,46.78521247892126
4,10,9,11,Night Owl,52.92380243158325
6,9,5,8,Night Owl,13.215374892487628
10,9,2,18,Night Owl,47.409581552275085
9,7,8,22,Night Owl,93.4140964250125
9,8,4,17,Night Owl,51.03639841550097
2,4,2,20,Night Owl,80.87541672534728
6,1,8,17,Night Owl,51.67372350499911
8,5,3,21,Night Owl,92.99891740124488
1,1,8,22,Night Owl,85.3104561852431
3,8,8,13,Night Owl,48.35843964984376
1,10,7,17,Night Owl,43.64369490748676
4,9,10,8,Night Owl,14.453932409882833
7,10,4,23,Night Owl,91.93882635853342
7,9,4,3,Night Owl,54.43084776399351
1,1,3,11,Night Owl,51.739703516160034
9,4,2,21,Night Owl,94.16974825642413
6,9,4,23,Night Owl,87.43673311360725
2,9,6,23,Night Owl,84.84060838755556
10,9,1,12,Night Owl,53.146150038181425
7,7,2,18,Night Owl,54.02568961090403
4,2,10,4,Night Owl,54.0641031476234
9,5,6,15,Night Owl,51.213395524901365
4,8,1,16,Night Owl,50.1896863459175
2,3,8,15,Night Owl,47.21806042043304
5,3,6,5,Night Owl,45.07236894239746
2,6,2,18,Night Owl,50.81014159823096
2,1,1,8,Night Owl,12.133511873613706
2,10,9,3,Night Owl,38.88955735425894
10,10,1,7,Night Owl,20.20680274498063
9,5,5,18,Night Owl,51.55694486606939
9,3,2,12,Night Owl,53.264789770177956
10,4,4,12,Night Owl,52.75423077546033
10,6,9,23,Night Owl,96.34215888942028
7,6,3,13,Night Owl,49.38092944588873
9,4,2,8,Night Owl,16.562790883249306
2,1,9,18,Night Owl,46.50469472319016
7,9,9,15,Night Owl,48.53935929563562
3,6,5,6,Night Owl,12.82189425733428
7,9,1,21,Night Owl,86.1593510997179
1,4,10,10,Night Owl,19.660902452624846
7,4,1,0,Night Owl,89.75308652464652
7,9,8,1,Night Owl,47.65610371023425
9,4,10,10,Night Owl,20.45851767613317
4,6,1,17,Night Owl,53.59486762289505
4,4,8,19,Night Owl,45.35119926780499
4,6,9,2,Night Owl,52.69703620470065
7,7,1,10,Night Owl,19.595199415044533
7,3,6,8,Night Owl,16.528542906584683
3,6,7,4,Night Owl,47.08858190779025
6,7,3,6,Night Owl,17.550136321390912
7,4,10,12,Night Owl,51.61678815439903
7,5,3,21,Night Owl,90.14868783173232
6,6,2,10,Night Owl,18.395544891993346
7,10,4,21,Night Owl,88.59075221133813
4,4,6,8,Night Owl,10.63951572787824
2,6,5,21,Night Owl,83.60127598096699
8,8,3,8,Night Owl,17.78316112121814
7,10,9,16,Night Owl,53.32392576685876
1,3,9,0,Night Owl,81.62257016394146
4,6,1,14,Night Owl,53.299458913857094
4,4,9,8,Night Owl,13.982590322307889
4,10,8,14,Night Owl,47.540089739980914
3,2,6,4,Night Owl,44.58546044633627
7,10,4,15,Night Owl,51.67148775710381
5,8,1,16,Night Owl,44.014024895625
10,7,2,13,Night Owl,55.14593060016918
5,9,9,18,Night Owl,53.659669188628264
7,6,5,6,Night Owl,17.194072525382545
4,5,9,15,Night Owl,51.61788267342005
4,6,2,2,Night Owl,45.34108692518538
9,6,8,4,Night Owl,55.165578313942326
2,6,8,12,Night Owl,46.79146367510092
1,4,1,17,Night Owl,49.861675577970274
6,1,4,13,Night Owl,49.51454846382966
4,8,6,1,Night Owl,47.55288806681417
8,5,3,15,Night Owl,57.25274251382148
10,4,1,21,Night Owl,100.0
4,6,2,15,Night Owl,48.8824018036421
5,9,8,18,Night Owl,44.15786162483316
2,1,10,20,Night Owl,86.32090660302475
5,6,2,8,Night Owl,13.11589373307401
5,9,4,5,Night Owl,50.744866039239724
2,4,9,1,Night Owl,42.02967382559314
4,1,4,14,Night Owl,48.7409637475319
3,2,10,19,Night Owl,38.598688058311566
1,2,2,23,Night Owl,85.50635918510523
4,9,2,13,Night Owl,48.01428659769396
1,3,6,8,Night Owl,12.439286449386143
1,5,2,22,Night Owl,78.44065699634167
3,5,10,3,Night Owl,46.80882015194944
5,3,9,23,Night Owl,91.45722857410482
1,4,7,20,Night Owl,83.4422225797993
4,9,8,18,Night Owl,51.6724721936075
4,7,1,0,Night Owl,84.96546189923733
6,10,7,15,Night Owl,52.650695077075646
9,8,7,11,Night Owl,50.159962429075435
3,3,5,22,Night Owl,85.1816567072817
1,4,2,4,Night Owl,50.71224355809713
6,4,4,6,Night Owl,15.371969999937447
6,8,8,4,Night Owl,49.50661500874739
2,3,2,21,Night Owl,84.0342247771272
1,3,7,22,Night Owl,82.55419590670188
5,3,7,4,Night Owl,49.30094056409028
8,2,2,5,Night Owl,56.08456391633973
8,5,1,10,Night Owl,18.996348402559143
8,2,2,0,Night Owl,95.64762068659694
1,9,1,21,Night Owl,84.18378460088452
4,4,10,14,Night Owl,46.942368980942945
1,6,10,13,Night Owl,45.36623969802066
7,6,8,18,Night Owl,56.0700768861094
9,3,4,12,Night Owl,51.40706312497125
8,3,10,21,Night Owl,93.57715941766116
5,5,5,8,Night Owl,15.390167464308831
9,6,6,19,Night Owl,53.144730395495706
8,2,5,16,Night Owl,56.379182869981065
6,2,4,12,Night Owl,53.27185768248574
5,7,10,16,Night Owl,52.100158465416165
4,7,10,22,Night Owl,80.7866194252787
8,4,4,4,Night Owl,52.07752550211192
5,5,8,6,Night Owl,12.445357637207298
8,5,2,23,Night Owl,94.34895461577406
1,6,3,16,Night Owl,48.74209985368214
6,8,9,5,Night Owl,52.90539259075158
9,5,5,3,Night Owl,50.880103937593255
5,7,3,3,Night Owl,46.558084612328464
8,9,5,6,Night Owl,15.570291879152393
6,1,8,8,Night Owl,17.526196864062936
8,3,6,9,Night Owl,17.51719353220207
8,5,8,6,Night Owl,18.284470381372454
7,2,8,11,Night Owl,47.841635969778935
6,4,7,15,Night Owl,46.153370363846825
4,4,10,21,Night Owl,78.37072043157566
4,1,8,10,Night Owl,13.246716238417331
8,8,5,15,Night Owl,52.297861443824615
4,6,10,20,Night Owl,88.2439861958816
9,9,6,9,Night Owl,14.013661947284959
5,7,8,8,Night Owl,18.619924371290164
8,1,7,11,Night Owl,49.88268633480218
5,2,2,23,Night Owl,87.06942599173114
3,1,7,11,Night Owl,43.15429820740058
3,7,2,3,Night Owl,48.30506106972469
8,2,10,18,Night Owl,43.66077627250398
10,5,9,15,Night Owl,55.40522052051469
9,4,10,4,Night Owl,49.56771715845228
9,4,5,20,Night Owl,97.49241174691959
6,7,6,16,Night Owl,48.78199246675182
2,7,3,9,Night Owl,13.501030349524646
4,5,6,2,Night Owl,43.60427912543011
1,3,3,21,Night Owl,78.85283209076414
2,4,8,10,Night Owl,17.24900944046415
6,10,3,17,Night Owl,50.481941386476954
2,3,9,7,Night Owl,12.328823403577683
9,7,7,20,Night Owl,97.40689349592921
3,2,2,23,Night Owl,83.58710502737074
1,8,9,21,Night Owl,86.92594572438294
5,9,7,20,Night Owl,82.68566810253066
2,4,2,8,Night Owl,16.33336334881665
9,8,2,1,Night Owl,55.31651913594629
5,4,2,23,Night Owl,90.55706935233822
4,9,4,18,Night Owl,48.242089825183314
2,8,3,12,Night Owl,47.78013503340914
8,5,9,10,Night Owl,16.85834912734278
6,5,3,6,Night Owl,16.335034193137307
7,3,2,12,Night Owl,50.16487270961041
1,6,5,1,Night Owl,41.97067599411238
3,7,1,22,Night Owl,84.1042976516664
9,8,7,13,Night Owl,49.97995785249212
2,9,3,3,Night Owl,42.410229324616445
7,2,8,9,Night Owl,19.565544364239454
5,9,9,15,Night Owl,53.97549202059517
3,8,7,6,Night Owl,16.09354178268483
2,2,4,6,Night Owl,15.831559532447363
2,5,7,8,Night Owl,17.56788165642412
6,2,1,15,Night Owl,49.795284577880416
10,4,4,21,Night Owl,100.0
9,10,7,8,Night Owl,22.17165219537441
3,9,2,8,Night Owl,17.131520374459143
2,10,3,4,Night Owl,46.62853551982298
9,7,3,12,Night Owl,53.27752340597848
2,8,6,18,Night Owl,44.548899139639616
5,5,1,4,Night Owl,51.4809652285334
3,10,5,13,Night Owl,45.4692218936534
3,5,5,23,Night Owl,82.66708762730143
3,1,3,16,Night Owl,51.08680147805102
9,3,8,21,Night Owl,96.03272603031787
3,7,5,17,Night Owl,50.3399719883935
8,1,4,10,Night Owl,16.394097476629657
7,10,2,9,Night Owl,17.46353407683734
3,5,8,9,Night Owl,14.046611179556916
9,6,9,3,Night Owl,50.70859792839019
3,5,5,19,Night Owl,50.56650573669764
5,9,7,12,Night Owl,50.58162749778526
7,8,4,15,Night Owl,51.60855217749828
5,1,9,17,Night Owl,48.38032923232376
6,8,3,4,Night Owl,46.19928017795639
5,1,4,13,Night Owl,45.08990894696818
7,10,7,9,Night Owl,18.87931619807322
5,1,8,22,Night Owl,84.49367268609868
5,10,10,6,Night Owl,16.979310408335643
5,2,2,19,Night Owl,52.11620423243371
7,10,4,8,Night Owl,15.825818380847839
9,3,10,18,Night Owl,50.20842919412396
5,6,9,0,Night Owl,89.80058260219016
4,10,7,5,Night Owl,52.05707733943737
6,7,4,21,Night Owl,90.27850273964995
2,3,9,21,Night Owl,85.11972733994318
3,2,5,9,Night Owl,18.504923452132896
3,10,9,22,Night Owl,84.64542025126028
7,8,10,0,Night Owl,90.8871651319363
5,5,1,18,Night Owl,49.91957212996358
2,7,5,2,Night Owl,47.88450410315301
6,1,4,5,Night Owl,45.22247614737528
1,9,4,8,Night Owl,15.653532978423902
7,1,5,2,Night Owl,47.48009554514885
10,10,6,19,Night Owl,50.0780988672527
9,7,4,10,Night Owl,15.671052409267912
6,2,3,15,Night Owl,54.71813649435692
4,10,7,12,Night Owl,50.17702447140178
5,1,5,21,Night Owl,89.22448365314402
2,9,2,18,Night Owl,45.7496138640225
8,6,1,14,Night Owl,52.43525855804525
9,2,1,6,Night Owl,14.904026624149381
7,5,2,16,Night Owl,49.25617637019414
9,5,10,11,Night Owl,54.060317759514845
2,4,9,7,Night Owl,16.488886096511003
2,3,5,9,Night Owl,15.88421542749872
8,1,4,15,Night Owl,57.177204730378186
6,5,4,20,Night Owl,91.07546423042027
8,9,2,21,Night Owl,89.63432954695031
1,4,8,18,Night Owl,49.19736889003148
5,10,5,4,Night Owl,48.14938036577524
8,1,1,1,Night Owl,53.23846313332874
8,10,1,3,Night Owl,54.640878274364326
6,10,3,19,Night Owl,53.53419350229127
9,9,10,20,Night Owl,94.01643622598681
5,5,1,21,Night Owl,89.05874848305504
5,8,8,17,Night Owl,46.655571802596235
10,10,6,18,Night Owl,53.42963924961839
1,7,10,4,Night Owl,45.88608008041174
5,8,5,20,Night Owl,90.70192570132465
1,2,5,22,Night Owl,82.04691634742144
2,3,9,23,Night Owl,83.09530499422723
4,8,9,2,Night Owl,48.48883212319859
7,9,7,16,Night Owl,44.29605365301774
9,5,6,17,Night Owl,53.291837971610036
1,10,4,8,Night Owl,14.593132831222407
8,3,6,8,Stress-Sensitive,78.06483870126793
5,7,2,21,Stress-Sensitive,49.89244897831852
2,3,1,18,Stress-Sensitive,69.16716394588853
8,8,1,15,Stress-Sensitive,38.45840359411626
9,2,2,7,Stress-Sensitive,87.84101385275518
8,6,3,11,Stress-Sensitive,71.67303035798734
9,8,10,21,Stress-Sensitive,52.436696597066764
2,3,8,8,Stress-Sensitive,75.0794845534088
6,4,2,22,Stress-Sensitive,80.2075583297327
9,5,10,3,Stress-Sensitive,85.44881774050094
10,6,2,1,Stress-Sensitive,67.04401910886877
7,5,7,4,Stress-Sensitive,77.26339653041106
9,1,3,22,Stress-Sensitive,83.60739975336891
9,6,10,8,Stress-Sensitive,67.69807484874383
4,5,1,13,Stress-Sensitive,77.50347753582504
10,10,10,23,Stress-Sensitive,38.476934685704514
3,6,5,23,Stress-Sensitive,62.41432592477541
9,10,9,2,Stress-Sensitive,37.514818357325375
2,4,8,5,Stress-Sensitive,74.82150690458516
1,8,5,5,Stress-Sensitive,31.20107434521425
5,10,5,18,Stress-Sensitive,29.822643618856176
2,6,2,19,Stress-Sensitive,60.907247727129054
1,4,7,14,Stress-Sensitive,68.24881944793225
3,1,7,3,Stress-Sensitive,76.35032703944728
10,8,5,21,Stress-Sensitive,49.64989376146425
1,3,2,14,Stress-Sensitive,70.40215525832488
4,1,1,3,Stress-Sensitive,75.11106398043557
7,8,8,7,Stress-Sensitive,40.95189923975941
9,1,9,23,Stress-Sensitive,84.83162440267971
9,1,9,5,Stress-Sensitive,80.33223165638947
4,5,7,9,Stress-Sensitive,74.20894030867635
2,1,6,17,Stress-Sensitive,77.01111737771505
8,10,4,3,Stress-Sensitive,32.79382632204535
8,8,5,2,Stress-Sensitive,45.19838747292965
2,9,9,4,Stress-Sensitive,26.419587281418867
8,7,3,11,Stress-Sensitive,54.32163456922713
5,9,4,2,Stress-Sensitive,30.112140796279526
8,5,9,6,Stress-Sensitive,87.2780186051855
5,9,5,7,Stress-Sensitive,31.874602867902254
6,6,3,12,Stress-Sensitive,65.41845332139825
3,4,1,21,Stress-Sensitive,76.11866935935042
6,8,4,8,Stress-Sensitive,45.50316326182805
10,8,5,21,Stress-Sensitive,43.09470940022891
4,9,4,1,Stress-Sensitive,30.431724750928577
